Time,Value
0.0,0.0
0.0010,0.09
0.0020,-0.09
0.0030,0.51
0.0040,-1.21
0.0050,4.07
0.0060,-11.76
0.0070,36.03
0.0080,-107.88
0.0090,325.77
0.01,-980.63
0.011,-2287.04
0.012,-3593.44
0.013,-4899.85
0.014,-6206.25
0.015,-7512.66
0.016,-8819.06
0.017,-10125.47
0.018,-11431.87
0.019,-12738.28
0.02,-14044.68
0.021,-15351.09
0.022,-16657.49
0.023,-17963.9
0.024,-19270.3
0.025,-20576.71
0.026,-21883.11
0.027,-23189.52
0.028,-24495.92
0.029,-25802.33
0.03,-27108.73
0.031,-28415.14
0.032,-29721.54
0.033,-31027.95
0.034,-32334.35
0.035,-33640.76
0.036,-34947.16
0.037,-36253.57
0.038,-37559.97
0.039,-38866.38
0.04,-40172.78
0.041,-41479.19
0.042,-42785.59
0.043,-44092.0
0.044,-45398.4
0.045,-46704.81
0.046,-48011.21
0.047,-49317.61
0.048,-50624.02
0.049,-51930.42
0.05,-53236.83
0.051,-54543.23
0.052,-55849.64
0.053,-57156.04
0.054,-58462.45
0.055,-59768.85
0.056,-61075.26
0.057,-62381.66
0.058,-63688.07
0.059,-64994.47
0.06,-66300.88
0.061,-67607.28
0.062,-68913.69
0.063,-70220.09
0.064,-71526.5
0.065,-72832.9
0.066,-74139.31
0.067,-75445.71
0.068,-76752.12
0.069,-78058.52
0.07,-79364.93
0.071,-80671.33
0.072,-81977.74
0.073,-83284.14
0.074,-84590.55
0.075,-85896.95
0.076,-87203.36
0.077,-88509.76
0.078,-89816.17
0.079,-91122.57
0.08,-92428.98
0.081,-93735.38
0.082,-95041.79
0.083,-96348.19
0.084,-97654.59
0.085,-98961.0
0.086,-100267.4
0.087,-101573.81
0.088,-102880.21
0.089,-104186.62
0.09,-105493.02
0.091,-106799.43
0.092,-108105.83
0.093,-109412.24
0.094,-110718.64
0.095,-112025.05
0.096,-113331.45
0.097,-114637.86
0.098,-115944.26
0.099,-117250.67
0.1,-118557.07
0.101,-112622.3
0.102,-128511.95
0.103,-78658.22
0.104,-226882.12
0.105,221646.65
0.106,-1127707.58
0.107,2939526.23
0.108,-9312147.07
0.109,2.760117942E7
0.11,-8.360802002E7
0.111,-1.9481721947E8
0.112,-3.0602641891E8
0.113,-4.1723561835E8
0.114,-5.284448178E8
0.115,-6.3965401724E8
0.116,-7.5086321669E8
0.117,-8.6207241613E8
0.118,-9.7328161558E8
0.119,-1.08449081502E9
0.12,-1.19570001447E9
0.121,-1.30690921391E9
0.122,-1.41811841336E9
0.123,-1.5293276128E9
0.124,-1.64053681225E9
0.125,-1.75174601169E9
0.126,-1.86295521113E9
0.127,-1.97416441058E9
0.128,-2.08537361002E9
0.129,-2.19658280947E9
0.13,-2.30779200891E9
0.131,-2.41900120836E9
0.132,-2.5302104078E9
0.133,-2.64141960725E9
0.134,-2.75262880669E9
0.135,-2.86383800614E9
0.136,-2.97504720558E9
0.137,-3.08625640503E9
0.138,-3.19746560447E9
0.139,-3.30867480391E9
0.14,-3.41988400336E9
0.141,-3.5310932028E9
0.142,-3.64230240225E9
0.143,-3.75351160169E9
0.144,-3.86472080114E9
0.145,-3.97593000058E9
0.146,-4.08713920003E9
0.147,-4.19834839947E9
0.148,-4.30955759892E9
0.149,-4.42076679836E9
0.15,-4.53197599781E9
0.151,-4.64318519725E9
0.152,-4.75439439669E9
0.153,-4.86560359614E9
0.154,-4.97681279558E9
0.155,-5.08802199503E9
0.156,-5.19923119447E9
0.157,-5.31044039392E9
0.158,-5.42164959336E9
0.159,-5.53285879281E9
0.16,-5.64406799225E9
0.161,-5.7552771917E9
0.162,-5.86648639114E9
0.163,-5.97769559059E9
0.164,-6.08890479003E9
0.165,-6.20011398947E9
0.166,-6.31132318892E9
0.167,-6.42253238836E9
0.168,-6.53374158781E9
0.169,-6.64495078725E9
0.17,-6.7561599867E9
0.171,-6.86736918614E9
0.172,-6.97857838559E9
0.173,-7.08978758503E9
0.174,-7.20099678448E9
0.175,-7.31220598392E9
0.176,-7.42341518337E9
0.177,-7.53462438281E9
0.178,-7.64583358225E9
0.179,-7.7570427817E9
0.18,-7.86825198114E9
0.181,-7.97946118059E9
0.182,-8.09067038003E9
0.183,-8.20187957948E9
0.184,-8.31308877892E9
0.185,-8.42429797837E9
0.186,-8.53550717781E9
0.187,-8.64671637726E9
0.188,-8.7579255767E9
0.189,-8.86913477615E9
0.19,-8.98034397559E9
0.191,-9.09155317504E9
0.192,-9.20276237448E9
0.193,-9.31397157392E9
0.194,-9.42518077337E9
0.195,-9.53638997281E9
0.196,-9.64759917226E9
0.197,-9.7588083717E9
0.198,-9.87001757115E9
0.199,-9.98122677059E9
0.2,-1.009243597004E10
0.201,-9.58723696013E9
0.202,-1.093985096145E10
0.203,-6.69603149105E9
0.204,-1.93136573668E10
0.205,1.886755243576E10
0.206,-9.599682536326E10
0.207,2.5022825406506E11
0.208,-7.927008645389E11
0.209,2.34956240597022E12
0.21,-7.11716996645854E12
0.211,-1.658390233888729E13
0.212,-2.605063471131604E13
0.213,-3.551736708374479E13
0.214,-4.498409945617354E13
0.215,-5.44508318286023E13
0.216,-6.391756420103104E13
0.217,-7.33842965734598E13
0.218,-8.285102894588855E13
0.219,-9.23177613183173E13
0.22,-1.0178449369074605E14
0.221,-1.112512260631748E14
0.222,-1.2071795843560355E14
0.223,-1.301846908080323E14
0.224,-1.3965142318046105E14
0.225,-1.491181555528898E14
0.226,-1.5858488792531856E14
0.227,-1.680516202977473E14
0.228,-1.7751835267017606E14
0.229,-1.869850850426048E14
0.23,-1.9645181741503356E14
0.231,-2.059185497874623E14
0.232,-2.153852821598911E14
0.233,-2.248520145323198E14
0.234,-2.3431874690474856E14
0.235,-2.437854792771773E14
0.236,-2.532522116496061E14
0.237,-2.627189440220348E14
0.238,-2.7218567639446356E14
0.239,-2.816524087668923E14
0.24,-2.9111914113932106E14
0.241,-3.005858735117498E14
0.242,-3.1005260588417856E14
0.243,-3.195193382566073E14
0.244,-3.2898607062903606E14
0.245,-3.384528030014648E14
0.246,-3.4791953537389356E14
0.247,-3.573862677463223E14
0.248,-3.6685300011875106E14
0.249,-3.763197324911798E14
0.25,-3.8578646486360856E14
0.251,-3.9525319723603725E14
0.252,-4.0471992960846606E14
0.253,-4.141866619808948E14
0.254,-4.236533943533236E14
0.255,-4.331201267257523E14
0.256,-4.4258685909818106E14
0.257,-4.520535914706098E14
0.258,-4.6152032384303856E14
0.259,-4.7098705621546725E14
0.26,-4.8045378858789606E14
0.261,-4.899205209603248E14
0.262,-4.993872533327536E14
0.263,-5.088539857051823E14
0.264,-5.1832071807761106E14
0.265,-5.277874504500398E14
0.266,-5.3725418282246856E14
0.267,-5.4672091519489725E14
0.268,-5.5618764756732606E14
0.269,-5.656543799397549E14
0.27,-5.751211123121836E14
0.271,-5.845878446846124E14
0.272,-5.940545770570411E14
0.273,-6.035213094294699E14
0.274,-6.129880418018986E14
0.275,-6.224547741743274E14
0.276,-6.319215065467561E14
0.277,-6.413882389191849E14
0.278,-6.508549712916136E14
0.279,-6.603217036640424E14
0.28,-6.697884360364711E14
0.281,-6.792551684088999E14
0.282,-6.887219007813286E14
0.283,-6.981886331537574E14
0.284,-7.076553655261861E14
0.285,-7.171220978986149E14
0.286,-7.265888302710436E14
0.287,-7.360555626434724E14
0.288,-7.455222950159011E14
0.289,-7.549890273883299E14
0.29,-7.644557597607585E14
0.291,-7.739224921331874E14
0.292,-7.833892245056161E14
0.293,-7.928559568780448E14
0.294,-8.023226892504736E14
0.295,-8.117894216229024E14
0.296,-8.212561539953312E14
0.297,-8.307228863677599E14
0.298,-8.401896187401886E14
0.299,-8.496563511126175E14
0.3,-8.591230834850461E14
0.301,-8.161177939485139E14
0.302,-9.312596600609855E14
0.303,-5.700026475025348E14
0.304,-1.6440836401703425E15
0.305,1.606108759715974E15
0.306,-8.171772288858138E15
0.307,2.130079098577476E16
0.308,-6.7479012284882016E16
0.309,9.223372036854776E16
0.31,-9.223372036854776E16
0.311,-9.223372036854776E16
0.312,-9.223372036854776E16
0.313,-9.223372036854776E16
0.314,-9.223372036854776E16
0.315,-9.223372036854776E16
0.316,-9.223372036854776E16
0.317,-9.223372036854776E16
0.318,-9.223372036854776E16
0.319,-9.223372036854776E16
0.32,-9.223372036854776E16
0.321,-9.223372036854776E16
0.322,-9.223372036854776E16
0.323,-9.223372036854776E16
0.324,-9.223372036854776E16
0.325,-9.223372036854776E16
0.326,-9.223372036854776E16
0.327,-9.223372036854776E16
0.328,-9.223372036854776E16
0.329,-9.223372036854776E16
0.33,-9.223372036854776E16
0.331,-9.223372036854776E16
0.332,-9.223372036854776E16
0.333,-9.223372036854776E16
0.334,-9.223372036854776E16
0.335,-9.223372036854776E16
0.336,-9.223372036854776E16
0.337,-9.223372036854776E16
0.338,-9.223372036854776E16
0.339,-9.223372036854776E16
0.34,-9.223372036854776E16
0.341,-9.223372036854776E16
0.342,-9.223372036854776E16
0.343,-9.223372036854776E16
0.344,-9.223372036854776E16
0.345,-9.223372036854776E16
0.346,-9.223372036854776E16
0.347,-9.223372036854776E16
0.348,-9.223372036854776E16
0.349,-9.223372036854776E16
0.35,-9.223372036854776E16
0.351,-9.223372036854776E16
0.352,-9.223372036854776E16
0.353,-9.223372036854776E16
0.354,-9.223372036854776E16
0.355,-9.223372036854776E16
0.356,-9.223372036854776E16
0.357,-9.223372036854776E16
0.358,-9.223372036854776E16
0.359,-9.223372036854776E16
0.36,-9.223372036854776E16
0.361,-9.223372036854776E16
0.362,-9.223372036854776E16
0.363,-9.223372036854776E16
0.364,-9.223372036854776E16
0.365,-9.223372036854776E16
0.366,-9.223372036854776E16
0.367,-9.223372036854776E16
0.368,-9.223372036854776E16
0.369,-9.223372036854776E16
0.37,-9.223372036854776E16
0.371,-9.223372036854776E16
0.372,-9.223372036854776E16
0.373,-9.223372036854776E16
0.374,-9.223372036854776E16
0.375,-9.223372036854776E16
0.376,-9.223372036854776E16
0.377,-9.223372036854776E16
0.378,-9.223372036854776E16
0.379,-9.223372036854776E16
0.38,-9.223372036854776E16
0.381,-9.223372036854776E16
0.382,-9.223372036854776E16
0.383,-9.223372036854776E16
0.384,-9.223372036854776E16
0.385,-9.223372036854776E16
0.386,-9.223372036854776E16
0.387,-9.223372036854776E16
0.388,-9.223372036854776E16
0.389,-9.223372036854776E16
0.39,-9.223372036854776E16
0.391,-9.223372036854776E16
0.392,-9.223372036854776E16
0.393,-9.223372036854776E16
0.394,-9.223372036854776E16
0.395,-9.223372036854776E16
0.396,-9.223372036854776E16
0.397,-9.223372036854776E16
0.398,-9.223372036854776E16
0.399,-9.223372036854776E16
0.4,-9.223372036854776E16
0.401,-9.223372036854776E16
0.402,-9.223372036854776E16
0.403,-9.223372036854776E16
0.404,-9.223372036854776E16
0.405,9.223372036854776E16
0.406,-9.223372036854776E16
0.407,9.223372036854776E16
0.408,-9.223372036854776E16
0.409,9.223372036854776E16
0.41,-9.223372036854776E16
0.411,-9.223372036854776E16
0.412,-9.223372036854776E16
0.413,-9.223372036854776E16
0.414,-9.223372036854776E16
0.415,-9.223372036854776E16
0.416,-9.223372036854776E16
0.417,-9.223372036854776E16
0.418,-9.223372036854776E16
0.419,-9.223372036854776E16
0.42,-9.223372036854776E16
0.421,-9.223372036854776E16
0.422,-9.223372036854776E16
0.423,-9.223372036854776E16
0.424,-9.223372036854776E16
0.425,-9.223372036854776E16
0.426,-9.223372036854776E16
0.427,-9.223372036854776E16
0.428,-9.223372036854776E16
0.429,-9.223372036854776E16
0.43,-9.223372036854776E16
0.431,-9.223372036854776E16
0.432,-9.223372036854776E16
0.433,-9.223372036854776E16
0.434,-9.223372036854776E16
0.435,-9.223372036854776E16
0.436,-9.223372036854776E16
0.437,-9.223372036854776E16
0.438,-9.223372036854776E16
0.439,-9.223372036854776E16
0.44,-9.223372036854776E16
0.441,-9.223372036854776E16
0.442,-9.223372036854776E16
0.443,-9.223372036854776E16
0.444,-9.223372036854776E16
0.445,-9.223372036854776E16
0.446,-9.223372036854776E16
0.447,-9.223372036854776E16
0.448,-9.223372036854776E16
0.449,-9.223372036854776E16
0.45,-9.223372036854776E16
0.451,-9.223372036854776E16
0.452,-9.223372036854776E16
0.453,-9.223372036854776E16
0.454,-9.223372036854776E16
0.455,-9.223372036854776E16
0.456,-9.223372036854776E16
0.457,-9.223372036854776E16
0.458,-9.223372036854776E16
0.459,-9.223372036854776E16
0.46,-9.223372036854776E16
0.461,-9.223372036854776E16
0.462,-9.223372036854776E16
0.463,-9.223372036854776E16
0.464,-9.223372036854776E16
0.465,-9.223372036854776E16
0.466,-9.223372036854776E16
0.467,-9.223372036854776E16
0.468,-9.223372036854776E16
0.469,-9.223372036854776E16
0.47,-9.223372036854776E16
0.471,-9.223372036854776E16
0.472,-9.223372036854776E16
0.473,-9.223372036854776E16
0.474,-9.223372036854776E16
0.475,-9.223372036854776E16
0.476,-9.223372036854776E16
0.477,-9.223372036854776E16
0.478,-9.223372036854776E16
0.479,-9.223372036854776E16
0.48,-9.223372036854776E16
0.481,-9.223372036854776E16
0.482,-9.223372036854776E16
0.483,-9.223372036854776E16
0.484,-9.223372036854776E16
0.485,-9.223372036854776E16
0.486,-9.223372036854776E16
0.487,-9.223372036854776E16
0.488,-9.223372036854776E16
0.489,-9.223372036854776E16
0.49,-9.223372036854776E16
0.491,-9.223372036854776E16
0.492,-9.223372036854776E16
0.493,-9.223372036854776E16
0.494,-9.223372036854776E16
0.495,-9.223372036854776E16
0.496,-9.223372036854776E16
0.497,-9.223372036854776E16
0.498,-9.223372036854776E16
0.499,-9.223372036854776E16
0.5,-9.223372036854776E16
0.501,-9.223372036854776E16
0.502,-9.223372036854776E16
0.503,-9.223372036854776E16
0.504,-9.223372036854776E16
0.505,9.223372036854776E16
0.506,-9.223372036854776E16
0.507,9.223372036854776E16
0.508,-9.223372036854776E16
0.509,9.223372036854776E16
0.51,-9.223372036854776E16
0.511,-9.223372036854776E16
0.512,-9.223372036854776E16
0.513,-9.223372036854776E16
0.514,-9.223372036854776E16
0.515,-9.223372036854776E16
0.516,-9.223372036854776E16
0.517,-9.223372036854776E16
0.518,-9.223372036854776E16
0.519,-9.223372036854776E16
0.52,-9.223372036854776E16
0.521,-9.223372036854776E16
0.522,-9.223372036854776E16
0.523,-9.223372036854776E16
0.524,-9.223372036854776E16
0.525,-9.223372036854776E16
0.526,-9.223372036854776E16
0.527,-9.223372036854776E16
0.528,-9.223372036854776E16
0.529,-9.223372036854776E16
0.53,-9.223372036854776E16
0.531,-9.223372036854776E16
0.532,-9.223372036854776E16
0.533,-9.223372036854776E16
0.534,-9.223372036854776E16
0.535,-9.223372036854776E16
0.536,-9.223372036854776E16
0.537,-9.223372036854776E16
0.538,-9.223372036854776E16
0.539,-9.223372036854776E16
0.54,-9.223372036854776E16
0.541,-9.223372036854776E16
0.542,-9.223372036854776E16
0.543,-9.223372036854776E16
0.544,-9.223372036854776E16
0.545,-9.223372036854776E16
0.546,-9.223372036854776E16
0.547,-9.223372036854776E16
0.548,-9.223372036854776E16
0.549,-9.223372036854776E16
0.55,-9.223372036854776E16
0.551,-9.223372036854776E16
0.552,-9.223372036854776E16
0.553,-9.223372036854776E16
0.554,-9.223372036854776E16
0.555,-9.223372036854776E16
0.556,-9.223372036854776E16
0.557,-9.223372036854776E16
0.558,-9.223372036854776E16
0.559,-9.223372036854776E16
0.56,-9.223372036854776E16
0.561,-9.223372036854776E16
0.562,-9.223372036854776E16
0.563,-9.223372036854776E16
0.564,-9.223372036854776E16
0.565,-9.223372036854776E16
0.566,-9.223372036854776E16
0.567,-9.223372036854776E16
0.568,-9.223372036854776E16
0.569,-9.223372036854776E16
0.57,-9.223372036854776E16
0.571,-9.223372036854776E16
0.572,-9.223372036854776E16
0.573,-9.223372036854776E16
0.574,-9.223372036854776E16
0.575,-9.223372036854776E16
0.576,-9.223372036854776E16
0.577,-9.223372036854776E16
0.578,-9.223372036854776E16
0.579,-9.223372036854776E16
0.58,-9.223372036854776E16
0.581,-9.223372036854776E16
0.582,-9.223372036854776E16
0.583,-9.223372036854776E16
0.584,-9.223372036854776E16
0.585,-9.223372036854776E16
0.586,-9.223372036854776E16
0.587,-9.223372036854776E16
0.588,-9.223372036854776E16
0.589,-9.223372036854776E16
0.59,-9.223372036854776E16
0.591,-9.223372036854776E16
0.592,-9.223372036854776E16
0.593,-9.223372036854776E16
0.594,-9.223372036854776E16
0.595,-9.223372036854776E16
0.596,-9.223372036854776E16
0.597,-9.223372036854776E16
0.598,-9.223372036854776E16
0.599,-9.223372036854776E16
0.6,-9.223372036854776E16
0.601,-9.223372036854776E16
0.602,-9.223372036854776E16
0.603,-9.223372036854776E16
0.604,-9.223372036854776E16
0.605,9.223372036854776E16
0.606,-9.223372036854776E16
0.607,9.223372036854776E16
0.608,-9.223372036854776E16
0.609,9.223372036854776E16
0.61,-9.223372036854776E16
0.611,-9.223372036854776E16
0.612,-9.223372036854776E16
0.613,-9.223372036854776E16
0.614,-9.223372036854776E16
0.615,-9.223372036854776E16
0.616,-9.223372036854776E16
0.617,-9.223372036854776E16
0.618,-9.223372036854776E16
0.619,-9.223372036854776E16
0.62,-9.223372036854776E16
0.621,-9.223372036854776E16
0.622,-9.223372036854776E16
0.623,-9.223372036854776E16
0.624,-9.223372036854776E16
0.625,-9.223372036854776E16
0.626,-9.223372036854776E16
0.627,-9.223372036854776E16
0.628,-9.223372036854776E16
0.629,-9.223372036854776E16
0.63,-9.223372036854776E16
0.631,-9.223372036854776E16
0.632,-9.223372036854776E16
0.633,-9.223372036854776E16
0.634,-9.223372036854776E16
0.635,-9.223372036854776E16
0.636,-9.223372036854776E16
0.637,-9.223372036854776E16
0.638,-9.223372036854776E16
0.639,-9.223372036854776E16
0.64,-9.223372036854776E16
0.641,-9.223372036854776E16
0.642,-9.223372036854776E16
0.643,-9.223372036854776E16
0.644,-9.223372036854776E16
0.645,-9.223372036854776E16
0.646,-9.223372036854776E16
0.647,-9.223372036854776E16
0.648,-9.223372036854776E16
0.649,-9.223372036854776E16
0.65,-9.223372036854776E16
0.651,-9.223372036854776E16
0.652,-9.223372036854776E16
0.653,-9.223372036854776E16
0.654,-9.223372036854776E16
0.655,-9.223372036854776E16
0.656,-9.223372036854776E16
0.657,-9.223372036854776E16
0.658,-9.223372036854776E16
0.659,-9.223372036854776E16
0.66,-9.223372036854776E16
0.661,-9.223372036854776E16
0.662,-9.223372036854776E16
0.663,-9.223372036854776E16
0.664,-9.223372036854776E16
0.665,-9.223372036854776E16
0.666,-9.223372036854776E16
0.667,-9.223372036854776E16
0.668,-9.223372036854776E16
0.669,-9.223372036854776E16
0.67,-9.223372036854776E16
0.671,-9.223372036854776E16
0.672,-9.223372036854776E16
0.673,-9.223372036854776E16
0.674,-9.223372036854776E16
0.675,-9.223372036854776E16
0.676,-9.223372036854776E16
0.677,-9.223372036854776E16
0.678,-9.223372036854776E16
0.679,-9.223372036854776E16
0.68,-9.223372036854776E16
0.681,-9.223372036854776E16
0.682,-9.223372036854776E16
0.683,-9.223372036854776E16
0.684,-9.223372036854776E16
0.685,-9.223372036854776E16
0.686,-9.223372036854776E16
0.687,-9.223372036854776E16
0.688,-9.223372036854776E16
0.689,-9.223372036854776E16
0.69,-9.223372036854776E16
0.691,-9.223372036854776E16
0.692,-9.223372036854776E16
0.693,-9.223372036854776E16
0.694,-9.223372036854776E16
0.695,-9.223372036854776E16
0.696,-9.223372036854776E16
0.697,-9.223372036854776E16
0.698,-9.223372036854776E16
0.699,-9.223372036854776E16
0.7,-9.223372036854776E16
0.701,-9.223372036854776E16
0.702,-9.223372036854776E16
0.703,-9.223372036854776E16
0.704,-9.223372036854776E16
0.705,9.223372036854776E16
0.706,-9.223372036854776E16
0.707,9.223372036854776E16
0.708,-9.223372036854776E16
0.709,9.223372036854776E16
0.71,-9.223372036854776E16
0.711,-9.223372036854776E16
0.712,-9.223372036854776E16
0.713,-9.223372036854776E16
0.714,-9.223372036854776E16
0.715,-9.223372036854776E16
0.716,-9.223372036854776E16
0.717,-9.223372036854776E16
0.718,-9.223372036854776E16
0.719,-9.223372036854776E16
0.72,-9.223372036854776E16
0.721,-9.223372036854776E16
0.722,-9.223372036854776E16
0.723,-9.223372036854776E16
0.724,-9.223372036854776E16
0.725,-9.223372036854776E16
0.726,-9.223372036854776E16
0.727,-9.223372036854776E16
0.728,-9.223372036854776E16
0.729,-9.223372036854776E16
0.73,-9.223372036854776E16
0.731,-9.223372036854776E16
0.732,-9.223372036854776E16
0.733,-9.223372036854776E16
0.734,-9.223372036854776E16
0.735,-9.223372036854776E16
0.736,-9.223372036854776E16
0.737,-9.223372036854776E16
0.738,-9.223372036854776E16
0.739,-9.223372036854776E16
0.74,-9.223372036854776E16
0.741,-9.223372036854776E16
0.742,-9.223372036854776E16
0.743,-9.223372036854776E16
0.744,-9.223372036854776E16
0.745,-9.223372036854776E16
0.746,-9.223372036854776E16
0.747,-9.223372036854776E16
0.748,-9.223372036854776E16
0.749,-9.223372036854776E16
0.75,-9.223372036854776E16
0.751,-9.223372036854776E16
0.752,-9.223372036854776E16
0.753,-9.223372036854776E16
0.754,-9.223372036854776E16
0.755,-9.223372036854776E16
0.756,-9.223372036854776E16
0.757,-9.223372036854776E16
0.758,-9.223372036854776E16
0.759,-9.223372036854776E16
0.76,-9.223372036854776E16
0.761,-9.223372036854776E16
0.762,-9.223372036854776E16
0.763,-9.223372036854776E16
0.764,-9.223372036854776E16
0.765,-9.223372036854776E16
0.766,-9.223372036854776E16
0.767,-9.223372036854776E16
0.768,-9.223372036854776E16
0.769,-9.223372036854776E16
0.77,-9.223372036854776E16
0.771,-9.223372036854776E16
0.772,-9.223372036854776E16
0.773,-9.223372036854776E16
0.774,-9.223372036854776E16
0.775,-9.223372036854776E16
0.776,-9.223372036854776E16
0.777,-9.223372036854776E16
0.778,-9.223372036854776E16
0.779,-9.223372036854776E16
0.78,-9.223372036854776E16
0.781,-9.223372036854776E16
0.782,-9.223372036854776E16
0.783,-9.223372036854776E16
0.784,-9.223372036854776E16
0.785,-9.223372036854776E16
0.786,-9.223372036854776E16
0.787,-9.223372036854776E16
0.788,-9.223372036854776E16
0.789,-9.223372036854776E16
0.79,-9.223372036854776E16
0.791,-9.223372036854776E16
0.792,-9.223372036854776E16
0.793,-9.223372036854776E16
0.794,-9.223372036854776E16
0.795,-9.223372036854776E16
0.796,-9.223372036854776E16
0.797,-9.223372036854776E16
0.798,-9.223372036854776E16
0.799,-9.223372036854776E16
0.8,-9.223372036854776E16
0.801,-9.223372036854776E16
0.802,-9.223372036854776E16
0.803,-9.223372036854776E16
0.804,-9.223372036854776E16
0.805,9.223372036854776E16
0.806,-9.223372036854776E16
0.807,9.223372036854776E16
0.808,-9.223372036854776E16
